經度,緯度,數量,路線
櫻花,121.51399916,24.59825032,7,台7線
櫻花,121.51401704,24.59834168,4,台7線
豔紫荊,121.51426909,24.59880472,1,台7線
樟樹,121.51431539,24.59885918,1,台7線
豔紫荊,121.51442737,24.59909934,2,台7線
櫻花,121.51442188,24.59915924,1,台7線
豔紫荊,121.51459556,24.60023810,7,台7線
豔紫荊,121.51469837,24.60082459,5,台7線
櫻花,121.51466566,24.60087332,6,台7線
櫻花,121.51466590,24.60089953,6,台7線
櫻花,121.51480751,24.60118284,69,台7線
豔紫荊,121.51554287,24.60235460,4,台7線
樟樹,121.51556692,24.60240836,1,台7線
櫻花,121.51586821,24.60265682,50,台7線
櫻花,121.51610368,24.60283677,9,台7線
櫻花,121.51737411,24.60314312,65,台7線
櫻花,121.51812926,24.60336328,34,台7線
豔紫荊,121.51934743,24.60385735,1,台7線
櫻花,121.51960205,24.60399734,130,台7線
豔紫荊,121.52116615,24.60490473,1,台7線
櫻花,121.52184072,24.60547622,44,台7線
九芎,121.52268692,24.60654880,15,台7線
樟樹,121.52337910,24.60700577,1,台7線
樟樹,121.52575043,24.60897123,4,台7線
豔紫荊,121.52559201,24.60980790,3,台7線
櫻花,121.52553594,24.61021928,8,台7線
櫻花,121.52712663,24.61107016,17,台7線
豔紫荊,121.52771897,24.61024490,3,台7線
櫻花,121.52802657,24.61019689,4,台7線
豔紫荊,121.52816381,24.61074046,7,台7線
樟樹,121.52829289,24.61111017,2,台7線
櫻花,121.52836079,24.61138460,2,台7線
豔紫荊,121.52844284,24.61159951,3,台7線
楓香,121.52862469,24.61246931,100,台7線
櫻花,121.53186553,24.61678812,31,台7線
楓香,121.53324150,24.61780999,80,台7線
豔紫荊,121.53569414,24.62025188,2,台7線
櫻花,121.53584946,24.62041822,29,台7線
櫻花,121.53609260,24.62134255,11,台7線
豔紫荊,121.53693040,24.62165809,1,台7線
櫻花,121.53706091,24.62202821,4,台7線
樟樹,121.53709834,24.62225976,2,台7線
豔紫荊,121.53711705,24.62228560,1,台7線
櫻花,121.53716297,24.62306738,15,台7線
豔紫荊,121.53723858,24.62315148,2,台7線
櫻花,121.53739535,24.62350906,9,台7線
櫻花,121.53780232,24.62404107,36,台7線
豔紫荊,121.53796293,24.62430357,1,台7線
樟樹,121.53799132,24.62436731,1,台7線
櫻花,121.53837621,24.62481220,16,台7線
樟樹,121.53956926,24.62539906,2,台7線
櫻花,121.54082805,24.62642062,1,台7線
豔紫荊,121.54113880,24.62694291,1,台7線
櫻花,121.54218488,24.62790510,13,台7線
豔紫荊,121.54279048,24.62839441,10,台7線
九芎,121.54442944,24.62824688,1,台7線
櫻花,121.54449280,24.62816999,1,台7線
樟樹,121.54449751,24.62816413,1,台7線
櫻花,121.54482982,24.62806360,6,台7線
豔紫荊,121.54516832,24.62835030,1,台7線
櫻花,121.54579155,24.62958036,13,台7線
櫻花,121.54756007,24.63164832,22,台7線
櫻花,121.54753807,24.63237187,37,台7線
紫薇,121.54757252,24.63274537,15,台7線
櫻花,121.54765143,24.63342359,24,台7線
櫻花,121.54906020,24.63352421,3,台7線
櫻花,121.55013191,24.63361378,3,台7線
櫻花,121.55067733,24.63361597,8,台7線
豔紫荊,121.55159772,24.63399141,1,台7線
樟樹,121.55223661,24.63429762,2,台7線
豔紫荊,121.55231025,24.63436298,2,台7線
